id,0,1
20806,0.97,0.03
32487,1.0,0.0
6605,0.51,0.49
27542,0.96,0.04
37202,0.11,0.89
323,1.0,0.0
6431,0.99,0.01
5383,0.47,0.53
40964,0.31,0.69
33399,0.79,0.21
22468,1.0,0.0
5566,0.99,0.01
18863,0.94,0.06
9941,0.12,0.88
24357,1.0,0.0
5091,0.77,0.23
25242,0.98,0.02
32450,0.99,0.01
38954,0.25,0.75
24300,0.81,0.19
24838,0.97,0.03
37784,0.76,0.24
30354,0.67,0.33
22720,0.92,0.08
14461,0.25,0.75
3312,1.0,0.0
25924,0.75,0.25
12964,0.98,0.02
27349,0.99,0.01
39367,0.39,0.61
32274,0.98,0.02
41000,0.11,0.89
37290,0.17,0.83
9097,0.99,0.01
19907,1.0,0.0
22053,0.99,0.01
26272,0.95,0.05
9794,0.97,0.03
17373,1.0,0.0
18210,0.99,0.01
6254,1.0,0.0
13875,1.0,0.0
15049,0.21,0.79
5985,1.0,0.0
3614,1.0,0.0
27668,0.95,0.05
26126,0.98,0.02
8491,0.96,0.04
22120,1.0,0.0
1399,1.0,0.0
22166,0.98,0.02
40863,0.84,0.16
25153,1.0,0.0
29040,0.79,0.21
7092,0.78,0.22
14975,0.99,0.01
39061,0.01,0.99
30401,0.19,0.81
35385,0.94,0.06
3873,0.96,0.04
37964,0.18,0.82
24280,1.0,0.0
6808,0.99,0.01
40457,0.36,0.64
23999,0.03,0.97
13786,0.99,0.01
13715,0.27,0.73
616,0.99,0.01
5727,1.0,0.0
1091,0.98,0.02
17338,0.97,0.03
21515,0.99,0.01
3960,0.99,0.01
25500,1.0,0.0
16229,0.99,0.01
13764,0.79,0.21
18562,0.63,0.37
14805,0.15,0.85
32429,0.9,0.1
4699,1.0,0.0
23370,1.0,0.0
28308,0.59,0.41
24894,0.24,0.76
8862,0.99,0.01
40762,0.09,0.91
5402,1.0,0.0
28128,0.79,0.21
36160,0.58,0.42
10516,1.0,0.0
20512,0.88,0.12
15031,0.99,0.01
5619,0.35,0.65
28807,0.81,0.19
10636,1.0,0.0
34721,0.1,0.9
4844,1.0,0.0
317,1.0,0.0
1243,1.0,0.0
21806,0.97,0.03
39646,0.01,0.99
23586,0.99,0.01
7008,0.97,0.03
27036,0.98,0.02
29825,0.76,0.24
22637,0.98,0.02
38757,0.08,0.92
36618,0.37,0.63
21374,0.98,0.02
8564,1.0,0.0
24176,0.99,0.01
21192,0.99,0.01
20183,0.98,0.02
6193,0.99,0.01
